,places/Abandoned_mine_shaft.txt,places/Biome.txt,places/biomes.txt,places/Cavern.txt,places/Desert_temple.txt,places/Dungeon.txt,places/dungeons.txt,places/Generated_Structures.txt,places/huge-mushroom.txt,places/Huge_mushroom.txt,places/Huge_Mushrooms.txt,places/Jungle_temple.txt,places/Moss_Stone_Boulder.txt,places/Nether_fortress.txt,places/Nether_Portal.txt,places/Obsidian_pillar.txt,places/Ocean_monument.txt,places/Ocean_monument_structure.txt,places/Stronghold.txt,places/The_End.txt,places/The_Nether.txt,places/The_Overworld.txt,places/The_Void.txt,places/Tree.txt,places/Village.txt,places/Village_structures.txt
larger,0.002928749576641976,0.0,0.0009304330784999779,0.0,0.0,0.0,0.0,0.00018528394158482666,0.005137474340421805,0.0,0.002853099218573733,0.0,0.0,0.0023608851549113945,0.0007406033412198099,0.0,0.0,0.0013517305738347581,0.0008505939364504749,0.0,0.0006464798396601017,0.0,0.0,0.0006148627341816952,0.0,0.0
complex,0.004970402988508215,0.0,0.0,0.0,0.0,0.0,0.0,0.0006288935485100258,0.0,0.0,0.0,0.0,0.0,0.0020033379984216314,0.0,0.0,0.0,0.0,0.0,0.0,0.0021942916203447635,0.0019942042385504084,0.0,0.0,0.0031887883085447597,0.0
also,0.00046440273519822835,0.00042818040311641076,0.001622894756938213,0.0008095531172641164,0.0009847576071673274,0.0003096018234654856,0.0005884911460431949,0.000998916595048957,0.0012219500540764014,0.00045747135109079206,0.000452407092591632,0.0,0.0,0.0007487164707928688,0.00046974069767177117,0.002636609077254458,0.0004141970340957172,0.0,0.0005395041676230243,0.00015211206214929562,0.001127613330280648,0.001304280022258854,0.0006084482485971825,0.0008287234495306754,0.0010427901028509429,0.0
cave,0.008786248729925929,0.0,0.0018608661569999559,0.027796261572590318,0.0,0.013667498024329221,0.0,0.0038909627732813604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004252969682252375,0.0009592926653020865,0.0006464798396601017,0.0011750606204156257,0.0,0.0006148627341816952,0.0009394773854598805,0.0
system,0.003619361534194835,0.0,0.0022996665343620612,0.00560828434352127,0.0,0.0048258153789264464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001372861271591144,0.0,0.0,0.0,0.00105116770630081,0.0,0.0015978452257983885,0.0014521450532331858,0.0,0.0003799250278439111,0.0,0.0
corridor,0.01873475710894752,0.0,0.0,0.0,0.0,0.0,0.0,0.0023704653135692044,0.0,0.0,0.0,0.0,0.0,0.020136288556792448,0.0,0.0,0.0,0.0,0.01813705858731993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
often,0.0018390447567488669,0.0005652011825165318,0.005258207391137554,0.0056992847047008174,0.0,0.0,0.004660875031504328,0.0011634503133997145,0.003225965553366783,0.0,0.0,0.0,0.0,0.0007412333065369478,0.0006975687008357771,0.0,0.0,0.0,0.000534112008560727,0.0012047340341977688,0.0012178289693520923,0.0,0.0,0.0003860897143393247,0.001179848884038155,0.006935825939738583
floor,0.0055171342702466,0.0,0.001168490531363901,0.0003562052940438011,0.005849491756406034,0.0036780895134977338,0.0015536250105014427,0.0013961403760796574,0.0,0.0,0.0,0.006430567096446368,0.0,0.0007412333065369478,0.0013951374016715542,0.0,0.001640229107370611,0.0025463696631907386,0.001068224017121454,0.0,0.0004059429897840308,0.0,0.0,0.00019304485716966236,0.0,0.0
wooden,0.00994080597701643,0.0,0.0,0.0,0.0,0.0,0.0,0.0009433403227650386,0.004359423219156707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002887098765602131,0.0,0.0,0.0,0.0,0.0010434881820804522,0.00478318246281714,0.0
plank,0.014911208965524645,0.0,0.0,0.0,0.0,0.0,0.0,0.0003144467742550129,0.004359423219156707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002887098765602131,0.0,0.0,0.0,0.0,0.0015652322731206784,0.0015943941542723799,0.0
cross,0.01248983807263168,0.0,0.0,0.0012095807964690988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003627411717463986,0.0,0.001378477111695135,0.0,0.0,0.0,0.0,0.0
empti,0.002625557502121005,0.0,0.0,0.0,0.0,0.0017503716680806701,0.0011090354888959124,0.000498308541020809,0.0,0.0,0.0,0.0,0.0,0.0,0.00033196704049805805,0.0,0.0,0.002423591540419389,0.0030501526097247316,0.0025799522849625756,0.0005795544987959409,0.001053415168024233,0.0017199681899750503,0.0002756052407793023,0.0,0.0
space,0.002625557502121005,0.0,0.0,0.0,0.0,0.0017503716680806701,0.0011090354888959124,0.0008305142350346817,0.0092112582134212,0.010345480306864855,0.0,0.0,0.0,0.0010582399703205272,0.0009959011214941743,0.0,0.0023417134478376533,0.0,0.0,0.0008599840949875252,0.0,0.0,0.005159904569925151,0.0049608943340274415,0.0,0.0
pocket,0.004689690972774421,0.0021619529979262754,0.0,0.00045417403404711924,0.0,0.0015632303242581404,0.0,0.00029668785449615316,0.0,0.011549238962802676,0.0,0.0,0.0,0.0,0.00029647471666964726,0.0,0.0020913486770480524,0.0,0.0,0.0,0.0005175913113764411,0.0009407890705261755,0.001536077440213954,0.002215249652348315,0.0007521740077839896,0.0
edit,0.0036780895134977338,0.0016956035475495955,0.0,0.0003562052940438011,0.0,0.0012260298378325778,0.0007768125052507213,0.0006980701880398287,0.0,0.009057981637718298,0.0017915417556520325,0.0,0.0,0.0,0.0011626145013929616,0.005220514148190332,0.0,0.0,0.0,0.0,0.0032475439182722463,0.00147570764675289,0.0024094680683955376,0.0017374037145269612,0.0005899244420190775,0.0
spawn,0.0012655612474482291,0.0001944750694565381,0.0022113055731586384,0.0004902541002587417,0.0060380994456566105,0.003374829993195278,0.00133643267730533,0.0018014459165690106,0.0,0.0006233361368028591,0.000616435736764451,0.004425273765911689,0.00982671086253919,0.00765133212197708,0.0012001011829250448,0.0,0.0033862314458749914,0.0,0.000735111483666298,0.0016581050586914764,0.0019554825963915778,0.0022849342887059213,0.0,0.0011956157152830983,0.0010149093843448739,0.0
