,mobs/Bat.txt,mobs/bats.txt,mobs/Blaze.txt,mobs/blazes.txt,mobs/Cat.txt,mobs/cave-spiders.txt,mobs/Cave-Spider_Jockey.txt,mobs/Cave_Spider.txt,mobs/Charged_Creeper.txt,mobs/Chicken.txt,mobs/chickens.txt,mobs/Chicken_Jockey.txt,mobs/Clownfish.txt,mobs/Cow.txt,mobs/cows.txt,mobs/Creeper.txt,mobs/creepers.txt,mobs/Donkey.txt,mobs/Drops.txt,mobs/Elder_Guardian.txt,mobs/ender-dragon.txt,mobs/Enderman.txt,mobs/endermen.txt,mobs/Endermite.txt,mobs/Ender_Dragon.txt,mobs/Ghast.txt,mobs/ghasts.txt,mobs/Giant.txt,mobs/Guardian.txt,mobs/Horse.txt,mobs/iron-golems.txt,mobs/Iron_Golem.txt,mobs/magma-cubes.txt,mobs/Magma_Cube.txt,mobs/Mob.txt,mobs/mobs.txt,mobs/Mooshroom.txt,mobs/mooshrooms.txt,mobs/Mule.txt,mobs/Ocelot.txt,mobs/ocelots.txt,mobs/Pig.txt,mobs/Pigman_Jockey.txt,mobs/Pigmen.txt,mobs/pigs.txt,mobs/Pufferfish.txt,mobs/Rabbit.txt,mobs/rabbits.txt,mobs/Sheep.txt,mobs/Silverfish.txt,mobs/Skeleton.txt,mobs/skeletons.txt,mobs/Slime.txt,mobs/slimes.txt,mobs/snow-golems.txt,mobs/Snow_Golem.txt,mobs/spider-jockeys.txt,mobs/Spider.txt,mobs/spiders.txt,mobs/Spider_Jockey.txt,mobs/Squid.txt,mobs/Villager.txt,mobs/villagers.txt,mobs/Witch.txt,mobs/Wither.txt,mobs/Wither_Skeleton.txt,mobs/Wither_Skeleton_Jockey.txt,mobs/Wolf.txt,mobs/wolves.txt,mobs/zombie-pigmen.txt,mobs/Zombie.txt,mobs/zombies.txt,mobs/Zombie_Pigman.txt
egg,0.002682888246930575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015882035980286553,0.03453543394371036,0.0012718189959497882,0.0,0.0,0.0,0.0010042505186598054,0.0,0.006622625041972771,0.0012417421953698946,0.0018897464772724356,0.003889478199253849,0.0,0.002682888246930575,0.00592831757789498,0.004608848775291395,0.0,0.0014002121517313858,0.006229757454737098,0.0,0.002446294108682122,0.0,0.0,0.0,0.0011875789655233888,0.00918889224573722,0.0020003030739019797,0.0027740052062602927,0.0,0.0033414153620862615,0.0,0.0,0.0,0.01633580843686617,0.0,0.0034839401879572397,0.0,0.001013946730564107,0.004682238086999857,0.0015585400275455353,0.00415904599524174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006208710976849473,0.001500227305426485,0.00034988642534934677,0.0,0.0,0.0,0.007206974310382133,0.013126988922481741,0.0013402212938176436,0.0031961364332999025,0.0,0.0014322676661645934,0.0,0.0
may,0.0021054283738835156,0.0,0.0016039500679631603,0.0,0.005886605861674319,0.0018489979950130876,0.0,0.001265103891324744,0.0,0.0017805165877903806,0.0,0.0029942251268724046,0.0,0.0037298752658022627,0.0,0.0007880975060711521,0.0,0.0,0.0019489438325813626,0.0,0.0,0.00309678805299738,0.0021054283738835156,0.0,0.0013563182784735502,0.0014887416114686021,0.0,0.0,0.0,0.000959879158808791,0.0,0.004499901516724519,0.0,0.0018639333584623049,0.0018027730451377604,0.004709284689339456,0.002176933488468239,0.0,0.002622215338382197,0.0,0.0032592507030739172,0.0,0.0,0.0,0.0,0.0029283623068227576,0.0,0.011023325626320064,0.001223082772672968,0.004895791013669731,0.0010884667442341196,0.0,0.002235997575364664,0.0,0.0,0.0,0.0,0.004273239810696914,0.0,0.004872359581453407,0.001177321172334864,0.0021966201787494842,0.004748044234107682,0.0024600740914459845,0.0019489438325813626,0.004524606858384967,0.0,0.0015776318353074295,0.0025082059758438405,0.0,0.002528975338527399,0.0,0.0013081346359276266
unlit,0.023298154397666287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015547234059816277,0.0,0.0
hous,0.005318416412745164,0.0,0.0,0.0,0.004956619377864541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007576669482281673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011420423958402625,0.0,0.005551413703208286,0.0,0.0,0.0,0.006623845895873523,0.0022733948472576835,0.006476649320409667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004116514398565466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013747604689548821,0.0035716816105200366,0.0,0.0,0.013619122402730607,0.0,0.0,0.002158883106803222,0.0,0.0,0.0,0.003467982144436399,0.053972077670080554,0.0031071345353777717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interior,0.01312887686346148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enough,0.00869290379213771,0.0,0.0014716438919034492,0.010146349900088317,0.0,0.005089435126166095,0.0,0.0,0.0,0.002450468764450342,0.0,0.0,0.0,0.0017111031889696354,0.0,0.0016269505731186698,0.004127999374429346,0.0,0.0,0.0,0.004200803596200586,0.0006088588034370482,0.0,0.0032014188696851244,0.0006222193414435038,0.0030733621148977194,0.007561446473161057,0.0,0.0,0.0008807009203348983,0.0,0.0,0.0,0.0,0.0,0.001080206639023008,0.0,0.0,0.0,0.0010628539219302688,0.0,0.00121585280196311,0.0,0.0,0.003762805116975881,0.0,0.0,0.0,0.0005610967347575341,0.0022459741999488283,0.0,0.0,0.0,0.0,0.0037100555125322934,0.0,0.0034222063779392707,0.0035286750208084927,0.0018858714481755602,0.0026822698637902396,0.003240619917069024,0.0026452466243566757,0.0,0.001692861150707699,0.0,0.0,0.0,0.0007237482950609944,0.0,0.0,0.0,0.004460403818437701,0.0006001147994572267
superflat,0.011649077198833143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012371500591008843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
world,0.009824966875780662,0.0,0.00124747030767558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005801812336129098,0.0,0.0018388257677349053,0.0,0.0,0.0,0.0017301034215706306,0.0,0.001032224280661005,0.0,0.0,0.007384124791437034,0.0017368005961057428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001831320356438028,0.005079322498045097,0.0,0.0,0.0,0.0,0.0020612870780734316,0.0,0.0,0.0,0.0,0.0,0.00428668936936927,0.0009512512098812372,0.0,0.0,0.0,0.01304283393393363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005493961069314085,0.0,0.0,0.002869979663074522,0.0022736832128073493,0.0,0.0,0.0,0.0,0.0,0.0006556358801665615,0.0,0.0
observ,0.011649077198833143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068789809320695715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
even,0.0032139550323965873,0.0,0.0008161479878375023,0.0014067470908572923,0.0,0.001411255895635681,0.0,0.0009655961391191501,0.0,0.0013589871587602854,0.0,0.0007617851893396755,0.0,0.0,0.0,0.00030075945316825986,0.0007631054409676472,0.0019833866641366326,0.0014875399981024745,0.0028297676056448103,0.0,0.003038962082013031,0.0016069775161982936,0.0,0.00034507197448145177,0.001704432926858061,0.005870824525844433,0.0018657281332132732,0.0022551182557661075,0.0014652640247531862,0.0,0.0020607418382449258,0.0,0.0007113276889149151,0.001375974498244789,0.0011981274542539658,0.0,0.0,0.00200141745199242,0.001178880426876392,0.0012438187554755155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006227890232508239,0.0012461655833160353,0.003237587054693621,0.000853317518291342,0.0013383338584751746,0.0020575319599922077,0.0,0.0,0.002609255344819748,0.0020917427051702258,0.0007437699990512373,0.001797191181380949,0.0012574350483722013,0.0054359486350411415,0.0,0.0,0.001726713095836598,0.0,0.0012041344743071991,0.00574319790571738,0.001974492553535123,0.00107236200545137,0.0024736620193164744,0.0016640659086860638
